psi,eT1,vT1,uT1,lT1,eT2i,vT2i,uT2i,lT2i,eT2a,vT2a,uT2a,lT2a,eDC,vDC,uDC,lDC,eMAE,uMAE,lMAE,eMR,uMR,lMR,N,n_edges
0.99,2012.171,2.874049909713857e6,4073.0,20.950000000000003,7795.344,22713.94863831916,8010.0,7533.0,3826.989,1.1190912323040519e7,7979.0,1.0,3640.45,338168.6838419209,4081.0499999999997,2378.6499999999996,0.3231945949598688,0.46084915196154386,0.141039638619172,0.030354736328125,0.0732421875,0.0036499023437500007,4096,8064.0
1.02,2113.093,2.989776649675838e6,4080.0,18.0,7832.7555,17759.45244597298,8021.049999999999,7604.0,4044.5215,1.1645932326701099e7,8004.0,1.0,3683.387,318187.31388794404,4085.0,2398.8500000000004,0.31653066240787686,0.45786932596543506,0.12764365245939743,0.0267125244140625,0.06787109375,0.002685546875,4096,8064.0
1.05,2037.556,2.9593459098189096e6,4079.0,16.0,7848.6805,15177.89136543272,8021.0,7639.95,3903.8905,1.1500280453736616e7,8002.049999999999,1.0,3669.185,329899.45950475236,4084.0,2393.9500000000003,0.32272041280478253,0.4624685639866157,0.13914579900357368,0.026491455078125,0.06496582031249998,0.0029296875,4096,8064.0
1.08,2071.2205,2.981009651705603e6,4081.0,13.0,7872.275,12278.325537768884,8028.0,7678.0,3981.7255,1.1595659189744625e7,8010.0,1.0,3675.2495,332283.54502226115,4086.0,2406.0,0.3207718761319271,0.4581360168631172,0.13939523545222549,0.0246124267578125,0.06396484375,0.00244140625,4096,8064.0
1.11,1997.324,3.0109893466973486e6,4084.0,11.0,7895.205,10661.740845422713,8034.0,7712.0,3847.5865,1.1705803381208358e7,8020.0,0.0,3682.546,340481.52364582295,4088.0,2373.7999999999997,0.31631564043417304,0.4547374137863118,0.13288995717273955,0.0229854736328125,0.06300048828124999,0.001953125,4096,8064.0
1.14,2040.858,3.033670114893447e6,4086.0,10.0,7909.8745,9050.971235367684,8040.0,7743.0,3941.0345,1.1783664389504505e7,8027.05,0.0,3690.658,334046.0060390195,4090.0,2397.95,0.3173759557287274,0.45705086710895665,0.12744239106437663,0.0218240966796875,0.060791015625,0.00146484375,4096,8064.0
1.17,2073.569,2.9941183093936965e6,4087.0,9.0,7922.801,7710.026412206103,8041.0,7769.95,4012.1005,1.1622037589194346e7,8029.0,0.0,3674.326,348513.02223511756,4090.0,2378.7999999999997,0.3168660324125946,0.4580707904474635,0.12722097527862958,0.0213583984375,0.05958251953124999,0.00146484375,4096,8064.0
1.2,2119.389,3.1165957775677834e6,4088.0,8.0,7940.5285,6252.5374564782305,8044.0,7798.0,4111.021,1.211273725118459e7,8035.0,0.0,3723.015,314615.92673836916,4090.0,2397.95,0.31678910488538836,0.4563748010247367,0.13475895760708614,0.0196085205078125,0.05495605468749998,0.00146484375,4096,8064.0
1.23,2111.838,3.0756683269194607e6,4088.0,7.0,7949.404,5548.158863431714,8046.0,7818.0,4100.4435,1.1957182380998254e7,8036.0,0.0,3708.791,320139.10687243624,4091.0,2433.8,0.31854241231913355,0.4590025943191039,0.1372664126044125,0.019473388671875,0.05518798828124999,0.001220703125,4096,8064.0
1.26,2103.561,3.1160511708644317e6,4090.0,6.0,7960.859,4848.742490245118,8049.0,7834.95,4090.074,1.2100683379213603e7,8041.0,0.0,3720.585,320199.68761880946,4092.0,2422.95,0.3156942425996964,0.45565923976708106,0.12930232549138074,0.0188056640625,0.05445556640624999,0.0009765625,4096,8064.0
1.29,2000.303,3.194605605993997e6,4090.0,6.0,7971.2725,4017.849168334168,8049.0,7855.95,3891.567,1.2402135119070534e7,8040.0,0.0,3749.985,298679.7066283143,4092.0,2464.85,0.31711641895816683,0.4551607994203842,0.13959202212830818,0.0176934814453125,0.052978515625,0.0009765625,4096,8064.0
1.32,2122.661,3.123214890524262e6,4091.0,5.0,7977.2,3837.4047023511757,8053.0,7865.0,4135.9125,1.213062850509629e7,8047.05,0.0,3723.961,318541.5452516259,4093.0,2454.95,0.3133461125843142,0.45599818503303363,0.12957594489846527,0.0179185791015625,0.052001953125,0.000732421875,4096,8064.0
1.35,2108.6955,3.16081631893922e6,4092.0,4.0,7984.1485,3637.46317933967,8053.049999999999,7872.0,4111.88,1.2271520660930458e7,8049.0,0.0,3737.7175,307928.5889882441,4093.0,2481.85,0.3138384239153537,0.4564743323799747,0.13071552420229532,0.0173765869140625,0.05421142578124999,0.000732421875,4096,8064.0
1.38,2139.3875,3.100208402545021e6,4092.0,3.0,7988.2665,3436.7468511755883,8056.0,7879.0,4174.236,1.204255615238019e7,8049.0,0.0,3712.3705,337049.3368981991,4094.0,2440.9500000000003,0.31458101793254656,0.45395703005520577,0.12565713212190327,0.0175283203125,0.05224609375,0.00048828125,4096,8064.0
1.41,2124.239,3.1462009653616813e6,4093.0,3.0,7994.725,3080.1854677338665,8057.0,7891.0,4147.5925,1.2222863815351432e7,8053.0,0.0,3730.827,318692.88451325666,4094.0,2426.0,0.31500819533294344,0.45650347130752855,0.12915217751823926,0.017441162109375,0.05324707031249998,0.00048828125,4096,8064.0
1.44,2086.5695,3.2027829716555793e6,4093.0,3.0,8000.923,2665.69391795898,8057.0,7903.0,4076.5735,1.2437561219207356e7,8053.0,0.0,3750.4195,304589.32718334167,4094.0,2472.9500000000003,0.3146861666223541,0.4547621327767611,0.13612588263073963,0.0167099609375,0.05251464843749998,0.00048828125,4096,8064.0
1.47,2087.879,3.1938196751965983e6,4094.0,2.0,8005.3645,2620.7860327663807,8060.0,7910.0,4081.3755,1.2398646247623568e7,8056.0,0.0,3744.727,315088.13153676846,4095.0,2441.65,0.31115781838823703,0.45408468543191205,0.12479279254375057,0.0162093505859375,0.0517578125,0.000244140625,4096,8064.0
1.5,2029.428,3.0994039357838924e6,4094.0,2.0,8004.9465,2628.4608681840937,8060.0,7909.950000000001,3965.829,1.2032379283400707e7,8056.0,0.0,3709.276,338530.4700590295,4095.0,2404.0,0.3175767244435846,0.4541719906271016,0.12871999549103166,0.017546142578125,0.0546875,0.000244140625,4096,8064.0
1.53,1989.9805,3.099893009624562e6,4094.0,2.0,8008.0185,2488.3013084042004,8060.0,7916.95,3889.755,1.2031554011980996e7,8057.0,0.0,3709.9695,339736.57485717855,4095.0,2401.9500000000003,0.31645797662684105,0.4584621481699013,0.1275535540065888,0.018480712890625,0.05836181640624999,0.000244140625,4096,8064.0
1.56,1985.5115,3.160148088912206e6,4095.0,1.0,8012.573,2279.7225322661343,8061.0,7920.95,3883.2155,1.2265111583851676e7,8060.0,0.0,3733.5775,321462.0500187595,4095.0,2434.9,0.3169259840690163,0.45993818333167885,0.13108195181821888,0.01770849609375,0.056396484375,0.000244140625,4096,8064.0
1.59,2012.4985,3.218656195095297e6,4095.0,1.0,8016.7325,2041.0504689844915,8061.0,7928.0,3938.6345,1.249033987484718e7,8060.0,0.0,3759.5335,289104.8543049025,4095.0,2510.85,0.31596724579533997,0.4539552394121691,0.12156841067330736,0.0172418212890625,0.05616455078124999,0.000244140625,4096,8064.0
1.62,2006.1705,3.121394005432466e6,4095.0,1.0,8016.205,2206.094022011006,8064.0,7927.0,3925.6445,1.2112465387813658e7,8060.0,0.0,3716.4565,338004.9255705351,4096.0,2401.0,0.3182286403260089,0.45510609655686635,0.1396663845796283,0.01770068359375,0.05933837890624999,0.0,4096,8064.0
1.65,2047.8275,3.1559834524699845e6,4095.0,1.0,8019.2805,2091.5475935467734,8064.0,7931.95,4009.284,1.2253137463075543e7,8061.0,0.0,3728.3055,331144.48941445735,4096.0,2427.85,0.31492729583283013,0.4575689200819234,0.12716025187179064,0.0174967041015625,0.05885009765624999,0.0,4096,8064.0
1.68,2050.9325,3.1554654536705855e6,4095.0,1.0,8020.679,1944.1550365182582,8064.0,7936.0,4016.1615,1.224771631457504e7,8061.0,0.0,3737.4185,299911.4080617808,4096.0,2469.8999999999996,0.3186769389238508,0.4592334428852766,0.136817465974391,0.01847021484375,0.05982666015624999,0.0,4096,8064.0
