psi,eT1,vT1,uT1,lT1,eT2i,vT2i,uT2i,lT2i,eT2a,vT2a,uT2a,lT2a,eDC,vDC,uDC,lDC,eMAE,uMAE,lMAE,eMR,uMR,lMR,N,n_edges
1.05,3856.334,216479.3991435718,4082.0,2997.6,7562.105,269116.3511505753,8011.0,6329.5,7349.495,1.272841454702351e6,8011.0,5002.7,3884.373,114234.33703951974,4082.0,3121.0,0.4670213049372486,0.7018258313322896,0.16918912093184862,0.4575147705078125,0.9631469726562499,0.00341796875,4096,8064.0
1.08,3885.342,166918.3001860931,4084.0,3231.75,7607.3895,235071.85071510755,8017.049999999999,6569.55,7429.353,1.0062997732776388e6,8017.0,5634.550000000001,3904.359,96640.04914357177,4084.0,3271.95,0.46814054014270845,0.7191902900929796,0.1677001395603789,0.453414794921875,0.968017578125,0.0029296875,4096,8064.0
1.11,3897.646,181600.29483141573,4085.0,3303.95,7652.9535,190829.5791273137,8023.0,6702.150000000001,7475.86,1.0285425176588293e6,8022.0,5805.349999999999,3923.556,85032.02687743872,4085.0,3377.15,0.4746268739092484,0.7259560708200508,0.17687431453361102,0.4659676513671875,0.969970703125,0.002685546875,4096,8064.0
1.14,3909.6825,165025.98868809408,4086.0,3309.5,7673.881,202624.4640710355,8026.0,6717.950000000001,7509.9805,964674.7945170087,8026.0,5856.5,3931.2775,84113.12105427713,4086.0,3338.7999999999997,0.4754808642206293,0.7360872769633064,0.1698877955983822,0.4630574951171875,0.97462158203125,0.00244140625,4096,8064.0
1.17,3945.843,125476.9248134067,4087.0,3524.35,7736.5195,141433.08116033018,8032.0,6934.900000000001,7611.7355,710228.7219007005,8032.0,6311.35,3963.377,58582.478110055024,4087.0,3537.95,0.4766136715396374,0.7357990291413751,0.17105093943189972,0.461641845703125,0.975830078125,0.002197265625,4096,8064.0
1.2,3960.194,109524.19145972989,4090.0,3606.7999999999997,7768.5655,131483.96069009503,8040.0,7055.0,7655.6385,644761.8467411206,8040.0,6550.700000000001,3971.285,66963.61358179088,4090.0,3614.6000000000004,0.4756275561155829,0.746646963566039,0.1600491807309347,0.4633310546875,0.97900390625,0.0016967773437500007,4096,8064.0
1.23,3962.696,129160.55786293144,4090.0,3624.8500000000004,7789.4185,117417.0508831916,8040.0,7103.85,7670.6605,714058.8066430716,8040.0,6615.55,3981.297,57548.233907953974,4090.0,3636.6000000000004,0.4830130102503405,0.7554697203488516,0.17410113003457833,0.47880078125,0.983642578125,0.0016967773437500007,4096,8064.0
1.26,3978.4115,99849.02968259132,4090.0,3657.75,7818.8625,93855.84551650826,8043.0,7162.5,7716.1275,553996.8616745872,8043.0,6781.400000000001,3991.1255,50576.243871685845,4090.0,3673.4500000000003,0.4806824803241303,0.7642569940137722,0.16373318548543195,0.4669918212890625,0.9833984375,0.00146484375,4096,8064.0
1.29,3997.5385,67641.78741145573,4091.0,3750.0,7843.331,81206.08448124063,8044.0,7285.95,7765.716,390400.96282541263,8044.0,7007.8,4003.9985,42399.397196348174,4091.0,3751.0,0.4858008606128086,0.7746911975595345,0.17859675991328727,0.4806910400390625,0.98583984375,0.0014526367187500007,4096,8064.0
1.32,4018.932,43108.942847423714,4092.0,3813.0,7881.1385,54185.30196873436,8048.0,7409.95,7826.0155,247248.44248099052,8048.0,7201.85,4022.568,28755.92834017009,4092.0,3813.95,0.4828276212584432,0.7779003309344468,0.1733271060199795,0.4717174072265625,0.98828125,0.0009765625,4096,8064.0
